cost => 5.12 | heu => 7.046187058565998 | fringe_size => 81 | closed => 4 | action => ['S2', "U'", 'B2', 'D2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.73044879516257 | fringe_size => 82 | closed => 4 | action => ['S2', "U'", 'B2', 'E'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.73044879516257 | fringe_size => 83 | closed => 4 | action => ['S2', "U'", 'B2', "E'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.388317926864284 | fringe_size => 84 | closed => 4 | action => ['S2', "U'", 'B2', 'E2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.394916078087997 | fringe_size => 85 | closed => 4 | action => ['S2', "U'", 'B2', 'U'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 10.065981512237139 | fringe_size => 86 | closed => 4 | action => ['S2', "U'", 'B2', "U'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.73044879516257 | fringe_size => 87 | closed => 4 | action => ['S2', "U'", 'B2', 'U2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.73044879516257 | fringe_size => 88 | closed => 4 | action => ['S2', "U'", 'B2', 'L'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.73044879516257 | fringe_size => 89 | closed => 4 | action => ['S2', "U'", 'B2', "L'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.059383361013426 | fringe_size => 90 | closed => 4 | action => ['S2', "U'", 'B2', 'L2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.059383361013426 | fringe_size => 91 | closed => 4 | action => ['S2', "U'", 'B2', 'R'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.059383361013426 | fringe_size => 92 | closed => 4 | action => ['S2', "U'", 'B2', "R'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 7.71725249271514 | fringe_size => 93 | closed => 4 | action => ['S2', "U'", 'B2', 'R2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 10.065981512237139 | fringe_size => 94 | closed => 4 | action => ['S2', "U'", 'B2', 'M'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 10.065981512237139 | fringe_size => 95 | closed => 4 | action => ['S2', "U'", 'B2', "M'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.394916078087997 | fringe_size => 96 | closed => 4 | action => ['S2', "U'", 'B2', 'M2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.73044879516257 | fringe_size => 97 | closed => 4 | action => ['S2', "U'", 'B2', 'B'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.73044879516257 | fringe_size => 98 | closed => 4 | action => ['S2', "U'", 'B2', "B'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.394916078087997 | fringe_size => 99 | closed => 4 | action => ['S2', "U'", 'B2', 'B2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.723850643938855 | fringe_size => 100 | closed => 4 | action => ['S2', "U'", 'B2', 'F'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.723850643938855 | fringe_size => 101 | closed => 4 | action => ['S2', "U'", 'B2', "F'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 6.710654341491426 | fringe_size => 102 | closed => 4 | action => ['S2', "U'", 'B2', 'F2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 10.73704694638628 | fringe_size => 103 | closed => 4 | action => ['S2', "U'", 'B2', 'S'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 10.73704694638628 | fringe_size => 104 | closed => 4 | action => ['S2', "U'", 'B2', "S'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 10.73704694638628 | fringe_size => 105 | closed => 4 | action => ['S2', "U'", 'B2', 'S2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
